iter	Logloss
0	0.6549939431
1	0.618839071
2	0.5874964797
3	0.5605478592
4	0.5359414186
5	0.5135563316
6	0.4949251757
7	0.4774260168
8	0.4610057896
9	0.4490086356
10	0.437029502
11	0.4255356181
12	0.4153362861
13	0.4066067918
14	0.3987078415
15	0.3922868412
16	0.3864620026
17	0.3813777043
18	0.3762970757
19	0.3719248012
20	0.3680003778
21	0.3643704569
22	0.3611133395
23	0.3579889961
24	0.3553222846
25	0.3528682851
26	0.3506110877
27	0.3487733945
28	0.3468741516
29	0.3452350484
30	0.3436381852
31	0.3420942635
32	0.3407275184
33	0.339312667
34	0.3382644082
35	0.3370733523
36	0.336130148
37	0.3353747216
38	0.3345762191
39	0.333894018
40	0.3331087236
41	0.3323911334
42	0.331935664
43	0.3312767546
44	0.3307453807
45	0.3301378031
46	0.3298151056
47	0.3293220221
48	0.3288888672
49	0.3284905871
50	0.3281725659
51	0.3279102895
52	0.3275598518
53	0.3271676958
54	0.3268799199
55	0.3265574701
56	0.3263422
57	0.3260765361
58	0.325846511
59	0.3256227744
60	0.3253798585
61	0.3251846032
62	0.3249941004
63	0.3247527556
64	0.3245345967
65	0.3243712277
66	0.3242383505
67	0.3240929289
68	0.3239605631
69	0.3238257633
70	0.323728074
71	0.3235565446
72	0.3234491953
73	0.3232699093
74	0.3231476399
75	0.3230097398
76	0.3228580096
77	0.3227599587
78	0.3226626745
79	0.322572029
80	0.3224815445
81	0.3224121339
82	0.3223098075
83	0.3221893186
84	0.3221201014
85	0.3220064167
86	0.3219367564
87	0.3218531365
88	0.3217638716
89	0.3216916697
90	0.3215689145
91	0.3214972573
92	0.3214205146
93	0.3213241718
94	0.3212501588
95	0.3212038585
96	0.3211358531
97	0.3210583054
98	0.3209766346
99	0.3209100019
100	0.3208454958
101	0.320774422
102	0.3207055813
103	0.3206405426
104	0.3205549776
105	0.3205096066
106	0.3204582175
107	0.3203854826
108	0.3203118375
109	0.320274727
110	0.3202128646
111	0.3201481754
112	0.320108987
113	0.3200747368
114	0.3200146887
115	0.3199535376
116	0.319911771
117	0.3198646939
118	0.3198188513
119	0.3197725362
120	0.3197086146
121	0.3196455332
122	0.3196032032
123	0.3195623032
124	0.3195193174
125	0.31947072
126	0.3194379098
127	0.3194012976
128	0.3193492873
129	0.319300209
130	0.3192541882
131	0.319222852
132	0.3191900509
133	0.3191487435
134	0.3191035233
135	0.3190578951
136	0.3190108654
137	0.3189801232
138	0.318930203
139	0.3188618504
140	0.3188283853
141	0.3188031117
142	0.318760301
143	0.3187211913
144	0.3186913186
145	0.3186567938
146	0.3186125331
147	0.3185694092
148	0.3185452125
149	0.3185163013
150	0.3184806763
151	0.3184415494
152	0.3184119369
153	0.3183671835
154	0.318339925
155	0.3183041503
156	0.3182640458
157	0.3182309901
158	0.318200516
159	0.3181615584
160	0.3181471393
161	0.3181273855
162	0.3180815648
163	0.3180425073
164	0.3180021363
165	0.3179647215
166	0.317916677
167	0.3178838101
168	0.3178581059
169	0.3178337193
170	0.3178079581
171	0.3177792195
172	0.3177583004
173	0.3177235022
174	0.3177106824
175	0.3176621002
176	0.3176332471
177	0.3176115434
178	0.3175809694
179	0.3175510777
180	0.3175224256
181	0.3175097856
182	0.3174856665
183	0.3174629077
184	0.3174419574
185	0.3174174133
186	0.3173798088
187	0.3173506262
188	0.3173308606
189	0.3172918588
190	0.3172780495
191	0.3172670464
192	0.317250861
193	0.3172314869
194	0.3171901657
195	0.3171691373
196	0.3171475394
197	0.3171251111
198	0.3171091953
199	0.3170932972
200	0.3170582679
201	0.3170432733
202	0.3170256004
203	0.3169964182
204	0.3169790785
205	0.3169488657
206	0.3169275736
207	0.3169070561
208	0.3168435075
209	0.3168083183
210	0.316775038
211	0.3167447537
212	0.3167238107
213	0.3166978259
214	0.3166523584
215	0.3166268806
216	0.316599624
217	0.3165730481
218	0.3165605629
219	0.3165449098
220	0.3165268458
221	0.3164808227
222	0.3164695321
223	0.3164534008
224	0.3164216525
225	0.3164068174
226	0.3163714217
227	0.3163383566
228	0.3163219256
229	0.3162858024
230	0.3162703783
231	0.3162583178
232	0.316232064
233	0.3162251107
234	0.3162135098
235	0.3161760256
236	0.3161398103
237	0.316119925
238	0.3160865186
