iter	Passed	Remaining
0	31	62002
1	65	65468
2	102	68367
3	138	68890
4	173	69085
5	213	70971
6	241	68881
7	278	69338
8	318	70432
9	351	69910
10	387	70041
11	426	70620
12	461	70528
13	498	70732
14	529	70016
15	562	69743
16	600	70057
17	630	69450
18	661	68995
19	696	68925
20	727	68572
21	760	68374
22	795	68420
23	834	68682
24	871	68828
25	902	68522
26	939	68670
27	975	68683
28	1011	68742
29	1044	68563
30	1077	68457
31	1114	68528
32	1148	68444
33	1184	68512
34	1218	68424
35	1258	68645
36	1301	69024
37	1347	69555
38	1404	70628
39	1440	70560
40	1473	70426
41	1510	70422
42	1546	70381
43	1585	70492
44	1624	70593
45	1659	70481
46	1691	70269
47	1716	69816
48	1745	69483
49	1774	69223
50	1807	69066
51	1834	68707
52	1863	68472
53	1895	68307
54	1923	68031
55	1958	67974
56	1991	67875
57	2025	67835
58	2059	67738
59	2091	67632
60	2126	67610
61	2158	67484
62	2194	67477
63	2226	67357
64	2259	67255
65	2289	67077
66	2321	66970
67	2357	66979
68	2391	66935
69	2426	66912
70	2456	66739
71	2489	66671
72	2520	66545
73	2551	66406
74	2580	66239
75	2609	66057
76	2644	66041
77	2687	66214
78	2725	66273
79	2759	66230
80	2794	66212
81	2829	66186
82	2865	66192
83	2901	66172
84	2936	66149
85	2975	66211
86	3005	66083
87	3041	66085
88	3077	66074
89	3112	66059
90	3149	66063
91	3182	66004
92	3217	65981
93	3250	65904
94	3286	65901
95	3315	65765
96	3352	65776
97	3383	65668
98	3414	65563
99	3448	65523
100	3476	65360
101	3507	65258
102	3542	65237
103	3572	65134
104	3606	65080
105	3642	65081
106	3678	65071
107	3720	65178
108	3761	65260
109	3800	65300
110	3840	65350
111	3873	65300
112	3907	65251
113	3943	65233
114	3973	65124
115	4010	65139
116	4045	65105
117	4074	64981
118	4111	64991
119	4144	64926
120	4178	64888
121	4210	64818
122	4244	64772
123	4280	64754
124	4315	64733
125	4351	64716
126	4388	64715
127	4423	64697
128	4458	64669
129	4486	64535
130	4519	64475
131	4556	64486
132	4593	64477
133	4630	64479
134	4666	64467
135	4703	64469
136	4746	64542
137	4801	64783
138	4850	64944
139	4900	65112
140	4952	65292
141	4992	65318
142	5028	65306
143	5064	65280
144	5096	65201
145	5128	65119
146	5159	65042
147	5196	65023
148	5234	65031
149	5269	64987
150	5307	64985
151	5339	64917
152	5372	64859
153	5408	64835
154	5444	64811
155	5478	64756
156	5513	64716
157	5547	64677
158	5583	64648
159	5615	64579
160	5646	64496
161	5677	64418
162	5708	64338
163	5745	64321
164	5781	64302
165	5816	64256
166	5852	64241
167	5887	64196
168	5920	64149
169	5957	64128
170	5995	64131
171	6035	64148
172	6080	64217
173	6113	64156
174	6142	64058
175	6175	63997
176	6211	63976
177	6248	63964
178	6282	63908
179	6316	63869
180	6356	63878
181	6390	63838
182	6426	63808
183	6461	63771
184	6494	63712
185	6526	63652
186	6562	63624
187	6598	63598
188	6634	63571
189	6670	63543
190	6702	63482
191	6735	63425
192	6764	63337
193	6797	63284
194	6833	63253
195	6869	63223
196	6903	63181
197	6936	63131
198	6968	63068
199	7000	63006
200	7038	62994
201	7075	62977
202	7115	62988
203	7154	62988
204	7191	62966
205	7226	62938
206	7262	62906
207	7295	62851
208	7331	62827
209	7363	62761
210	7400	62745
211	7439	62745
212	7473	62702
213	7516	62728
214	7556	62739
215	7592	62709
216	7628	62683
217	7662	62636
218	7694	62574
219	7725	62507
220	7761	62482
221	7798	62456
222	7831	62410
223	7864	62355
224	7902	62341
225	7936	62299
226	7977	62305
227	8014	62288
228	8049	62255
229	8084	62214
230	8119	62179
231	8154	62143
232	8194	62143
233	8227	62096
234	8264	62068
235	8302	62061
236	8347	62098
237	8382	62062
238	8433	62136
239	8480	62186
240	8519	62182
241	8554	62140
242	8583	62062
243	8620	62039
244	8657	62016
245	8693	61983
246	8727	61938
247	8762	61903
248	8799	61877
249	8833	61831
250	8869	61802
251	8905	61772
252	8941	61740
253	8978	61719
254	9015	61695
255	9043	61608
256	9080	61583
257	9114	61541
258	9150	61506
259	9186	61475
260	9225	61465
261	9259	61421
262	9298	61410
263	9336	61395
264	9352	61235
265	9387	61195
266	9422	61155
267	9457	61118
268	9492	61084
269	9525	61035
270	9558	60986
271	9592	60938
272	9631	60926
273	9670	60917
274	9709	60905
275	9744	60869
276	9781	60845
277	9820	60829
278	9862	60834
279	9901	60822
280	9943	60828
281	9981	60812
282	10024	60817
283	10065	60815
284	10105	60808
285	10141	60778
286	10183	60783
287	10220	60756
288	10258	60732
289	10302	60750
290	10342	60742
